"type","indicator","classification","source","notes","references"
"domain","uspyrc.top","malicious","infoblox","Emergent domain recently observed by Infoblox found to have suspicious registration, behavior, or common associations with known threats. Some of the domain's characteristics are: domain created on 2023-10-18. Using TLD that has high risk of being abused for hosting malicious indicators per Infoblox TLD reputation score.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","redelivg-usps.com","malicious","infoblox","Domain is part of a cluster of 4 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-23. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usps-dybj.top","malicious","infoblox","Domain is a lookalike to usps.com and likely used for phishing. The creation or first seen date is 2023-10-05.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususcr.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususpp.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususngu.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususjki.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplyu.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususcs.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplng.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususjie.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplso.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveze.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplzs.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveik.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplcz.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususcdn.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususvvc.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplce.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususert.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplcy.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususooi.top","malicious","infoblox","This domain belongs to a cluster of domains that all contain USPS-related phishing content, have the same registrant organization, and use a high-risk TLD.  They are known malicious and may even be associated with malware in addition to phishing.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackev.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptracksr.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackcv.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackhy.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackms.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackfr.top","suspicious","infoblox","Domain is part of a cluster of 19 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-15. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususrsv.top","suspicious","infoblox","Domain is part of a cluster of 22 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-16. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackxn.top","suspicious","infoblox","Domain is part of a cluster of 16 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-16. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackxf.top","suspicious","infoblox","Domain is part of a cluster of 16 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-16. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptracknh.top","suspicious","infoblox","Domain is part of a cluster of 24 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackvd.top","suspicious","infoblox","Domain is part of a cluster of 24 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackhk.top","suspicious","infoblox","Domain is part of a cluster of 24 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackoy.top","suspicious","infoblox","Domain is part of a cluster of 24 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usushuy.top","suspicious","infoblox","Domain is part of a cluster of 11 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-16. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususzzo.top","suspicious","infoblox","Domain is part of a cluster of 11 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-16. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveoz.top","suspicious","infoblox","Domain is part of a cluster of 4 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-26. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspjl.shop","suspicious","infoblox","Domain is part of a cluster of 4 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-17. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspjh.shop","suspicious","infoblox","Domain is part of a cluster of 4 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-17. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackjz.top","suspicious","infoblox","Domain is part of a cluster of 5 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-24. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususeei.top","suspicious","infoblox","Domain is part of a cluster of 13 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","ususcce.top","suspicious","infoblox","Domain is part of a cluster of 13 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-18. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspsnelson56.top","suspicious","infoblox","Domain is part of a cluster of 26 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-02. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveog.top","suspicious","infoblox","Domain is part of a cluster of 9 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-03. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usphpin.top","suspicious","infoblox","Domain is part of a cluster of 12 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-02. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveck.top","suspicious","infoblox","Domain is part of a cluster of 9 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-03. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","arriveaa.top","suspicious","infoblox","Domain is part of a cluster of 9 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-10-03. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackxp.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackru.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackxg.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackbi.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackrr.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackyg.top","suspicious","infoblox","Domain is part of a cluster of 21 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-22. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usps-dnuws.top","suspicious","infoblox","Domain is part of a cluster of 15 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-06. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspsghrdsf.top","suspicious","infoblox","Domain is part of a cluster of 14 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-07. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspstrackvn.top","suspicious","infoblox","Domain is part of a cluster of 14 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-07. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usps-falk.top","malicious","infoblox","Domain is a lookalike to usps.com and likely used for phishing. The creation or first seen date is 2023-09-10.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackcg.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackkr.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackej.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackti.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackof.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackqs.top","suspicious","infoblox","Domain is part of a cluster of 20 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-25. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspostcheckrs.shop","suspicious","infoblox","Domain is part of a cluster of 42 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-08-12. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspostcheckvn.shop","suspicious","infoblox","Domain is part of a cluster of 42 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-08-12. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","uspserc.top","suspicious","infoblox","Domain is part of a cluster of 17 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-08-23. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackjn.top","suspicious","infoblox","Domain is part of a cluster of 25 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-13. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptracked.top","suspicious","infoblox","Domain is part of a cluster of 25 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-13. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usplnnh.top","malicious","infoblox","Emergent domain recently observed by Infoblox found to have suspicious registration, behavior, or common associations with known threats. Some of the domain's characteristics are: domain created on 2023-10-18. Using TLD that has high risk of being abused for hosting malicious indicators per Infoblox TLD reputation score.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
"domain","usptrackxo.top","suspicious","infoblox","Domain is part of a cluster of 25 simultaneously observed, algorithmically generated domains (DGA) with an unknown purpose. The first creation or first seen date of domains in the cluster is 2023-09-13. Registered DGA domains are often used for illegal and malicious activity.","https://blogs.infoblox.com/cyber-threat-intelligence/phishers-weather-the-storm-the-dns-landscape-of-us-postal-smishing-attacks/"
