"type","indicator","classification","references"
"domain","a-discount-ukraine[.]store","parked",""
"domain","a-discounter-ukraine[.]store","unavailable",""
"domain","a-promo-ukraine[.]store","unavailable",""
"domain","a-store-ukraine[.]tech","phishing",""
"domain","a2food4ukraine[.]org","parked",""
"domain","a3k67[.]xyz","malware",""
"domain","aboutukraine[.]org","parked",""
"domain","acaseforukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","actforukraine[.]org[.]ua","suspicious","https://clarity-project.info/fop/8de8048926d0ca9aba806b7b5a397973&usg=AOvVaw33N7h9dkmLSUUaYZG5Uxb0"
"domain","actinukrainenow[.]com","parked",""
"domain","actorsukraine[.]site","unavailable",""
"domain","ada4ukraine[.]com","parked",""
"domain","adeccojobsforukraine[.]com","parked",""
"domain","adoptaukrainiangirl[.]com","phishing","https://twitter.com/malwrhunterteam/status/1498212252696170501"
"domain","adoptioninukraine[.]com","suspicious",""
"domain","advokat-ukraine[.]org[.]ua","suspicious","https://urlscan.io/result/e721326d-fa65-4fb7-ab3f-75936c5b4495/"
"domain","agrolifeukraine[.]com","unavailable",""
"domain","aid-for-ukraines[.]org","suspicious",""
"domain","aid-ukraine[.]com","parked",""
"domain","aid-ukraine[.]net","suspicious",""
"domain","aid2ukraine[.]com","parked",""
"domain","aid2ukraine[.]org","parked",""
"domain","aid4ukraine[.]com","parked",""
"domain","aid4ukraine[.]org","parked",""
"domain","aide-ukraine[.]com","parked",""
"domain","aidepour-ukraine[.]fr","suspicious","https://urlscan.io/result/232aa37f-9085-4911-a6fa-2e7160e828a2/#summary"
"domain","aiderlukraine[.]org","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","aidetoukraine[.]com","parked",""
"domain","aidforukraine[.]com","parked",""
"domain","aidforukraine[.]org","parked",""
"domain","aidgiversukraine[.]org","phishing","https://twitter.com/GuideTwit/status/1512057627798384640?s=20&t=l4-SjHBQUGXp9741KwMyrg"
"domain","aidonslukraine[.]org","phishing","https://www.virustotal.com/gui/domain/aidonslukraine.org"
"domain","aidourcountryukraine[.]gonlinesites[.]com","phishing","https://twitter.com/DonPasci/status/1510653575059419151"
"domain","aidourcountryukraine[.]org","phishing","https://mobile.twitter.com/DonPasci/status/1510653575059419151"
"domain","aidtoukraine[.]net","suspicious","https://urlscan.io/result/67a3d4dc-43b4-465c-adc2-cbfb81b67282/#summary"
"domain","aidukraine[.]club","unavailable",""
"domain","aidukraine[.]net","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","aidukraine[.]org","phishing",""
"domain","aidukraine[.]org[.]uk","parked",""
"domain","aidukrainecoin[.]com","phishing","https://crystalblockchain.com/verified-ukraine-donation-programs-list/ 

https://twitter.com/Luca05102882/status/1525849002302128128
"
"domain","aidukrainefoundation[.]com","parked",""
"domain","aiforukraine[.]aihouse[.]club","phishing","https://urlscan.io/result/643f25e4-e00b-4b34-9949-ef3def666389/dom/"
"domain","aihouse[.]club","phishing","https://urlscan.io/result/643f25e4-e00b-4b34-9949-ef3def666389/dom/"
"domain","airdropukraine-nft[.]com","unavailable",""
"domain","airstore-ukraine[.]com[.]ua","suspicious","https://moshennik.eu/company.php?name=380631849875"
"domain","airukraine[.]com","parked",""
"domain","airxanada[.]com","malware","https://www.joesandbox.com/analysis/585795/0/html"
"domain","akulasystems[.]com","phishing","https://urlscan.io/result/a2efecf8-340b-40b6-adb0-481ed55f8762/"
"domain","all-we-be-ukraine[.]online","suspicious","https://urlscan.io/result/cb2f395e-85ea-47aa-a392-1bb9b3a11448/"
"domain","alljob[.]org","phishing",""
"domain","allukraine-help[.]in[.]ua","suspicious","https://urlscan.io/result/22ae2143-a1a9-477e-b8fa-0e8a657d9cb3/"
"domain","allukraine[.]online","parked",""
"domain","amazingukraine[.]tours","parked",""
"domain","amberukraine[.]com","parked",""
"domain","americaforukraine[.]org","parked",""
"domain","americastandswithukraine[.]com","suspicious","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","amerisbankyourmortgage[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","animalukraine[.]com","unavailable",""
"domain","anna-ukraine[.]com","unavailable",""
"domain","antennaology[.]co","spam","https://urlscan.io/result/e4e62117-5c56-4357-a3e2-9c55ab8a063c/,https://www.virustotal.com/gui/url/07d91486b332f8e3606519d4ba90970b50f76be31de692008a8bca49457a472f/details"
"domain","antiquesforukraine[.]com","suspicious","https://urlscan.io/result/c0cc5303-87a5-4e62-8bc8-9bd6300e4975/"
"domain","antiwar-donationsupport[.]org","phishing","https://mobile.twitter.com/DonPasci/status/1511440952254160905"
"domain","antiwarukraine[.]com","suspicious",""
"domain","anukraine[.]com","phishing","ec8e0f4c-9001-46bc-9995-3f68d0aed179, https://urlscan.io/result/4c5fc7ce-1c54-40f9-a479-ea257b6c56ea/"
"domain","aolukraine[.]com","suspicious","https://www.virustotal.com/gui/domain/aolukraine.com"
"domain","app-en[.]com","phishing",""
"domain","app-helpukrainejews[.]faireee[.]com","phishing","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","apparelforukraine[.]com","suspicious","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","appleukraine[.]store","phishing",""
"domain","arabtransportvtc[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","arabukraine[.]com","parked",""
"domain","archlinuxo[.]ru","malware","https://twitter.com/500mk500/status/1497520375932108801"
"domain","ardon-ukraine[.]com","parked",""
"domain","aresukraine[.]site","unavailable",""
"domain","armanukrainian[.]org","phishing","https://mobile.twitter.com/DonPasci/status/1510011746701959176"
"domain","armthepeopleofukraine[.]com","parked",""
"domain","armukraine[.]com","parked",""
"domain","art-ukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","art4ukraine[.]com","suspicious",""
"domain","artcoalitionukraine[.]com","suspicious",""
"domain","artforukraine[.]com","phishing",""
"domain","artforukraine[.]net","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","artforukraine[.]org","phishing",""
"domain","artforukraine[.]world","suspicious",""
"domain","artpeace4ukraine[.]org","parked",""
"domain","artukraine[.]com","parked",""
"domain","artukraine[.]org","parked",""
"domain","assistukraine[.]co","phishing","https://mobile.twitter.com/DonPasci/status/1510015574310592533"
"domain","assistukraine[.]me","phishing","https://mobile.twitter.com/DonPasci/status/1510015574310592533"
"domain","assistukraine[.]net","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","assistukraine[.]org","phishing",""
"domain","assistukrainianrefugee[.]org","phishing","https://mobile.twitter.com/DonPasci/status/1510980383835406341"
"domain","astrologyplatform[.]com","malware","https://www.joesandbox.com/analysis/585762/0/html"
"domain","athletesforukraine[.]com","parked",""
"domain","atlantic-ukraine[.]shop","unavailable",""
"domain","atmosphera[.]top","malware","https://www.joesandbox.com/analysis/589426/0/html"
"domain","attorneyinukraine[.]com","unavailable",""
"domain","auction4ukraine[.]co[.]uk","parked",""
"domain","auswandern-ukraine[.]com","parked",""
"domain","automobile-ukraine[.]xyz","phishing","https://urlscan.io/result/cc1a84fc-1db6-44fd-a301-68133551b08c/"
"domain","automotiveukraine[.]com","unavailable",""
"domain","autostarukraine[.]com","parked",""
"domain","avatarfullmoviekissmovies[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","aveclukraine[.]com","suspicious",""
"domain","avg-ukraine[.]org","parked",""
"domain","avtorazborka-ukraine[.]site","phishing","https://urlscan.io/result/cc1a84fc-1db6-44fd-a301-68133551b08c/"
"domain","babynahrung-ukraine[.]de","suspicious","https://urlscan.io/result/0a449273-3823-4b49-a90a-3e63cef95e27/"
"domain","babynahrungukraine[.]de","suspicious","https://urlscan.io/result/0a449273-3823-4b49-a90a-3e63cef95e27/"
"domain","bake4ukraine[.]nl","suspended",""
"domain","bakertillyukraine[.]in[.]ua","parked",""
"domain","baltimore4ukraine[.]help","suspicious","https://urlscan.io/result/e09a63cf-cba8-4bc1-afd5-fbd0ee5b4c35/"
"domain","basedukraine[.]com","phishing",""
"domain","bass-202-service-ua[.]site","phishing","Iris search: U2FsdGVkX19fCcXlzseNw4IfOkzqBKkAiPoedUicb/AYoq+UvFwM2qbr9fox6DVN6dIqabSixoaFQ4OoyHultJiIemRWuhL++Ec8B6pt5GAridYwOdZlA5mAs9chnk6khJ0Xmrd9sdkgj7ryW89f1qbA4AfsnXl6gRLdotM1fSHIxT8RxuiSoWk9bpej9OHQE03mGQEVpQsToEtxNwNjQlJOUN5okeG6MO2yaZQCbk/ULbTbjuyCybWLVCO6uCrlBPMcp2trq0KwfHAHhyoxWbCBVBXtyeDg4mFk3Z+3K7OytyXqKq90EXbzEz/zvmnERMBhMDFF7OXobE563xusxwunOl+kWspp0V2weo6C9MT6XHwob33HCcMTGNYqaEv0vGe36XFMQa5h+R5QI3Y5YWMp3B8P6ETeGwiGH85VIARi/JB0nTbOwF/QMPGWeJTbBRwjhf8E3R2qTeX50FK9zjFL8HcnQczFuxy9Gyku24z/h6AiArp4mwNWqh5fSFe2ngeu04I+d4OEnf9uSPGh75q6dpTmXLCmXtFuqhuimcGsNnJsdcjk2EuQm8f/n8Wqj9wpJL/VGwKbdEVdCnglo28iJx4jv0EH5hqP8LKb/1rFvZVle13A2SzT+f07mqK+/RAw8GbHX/pyktmWnMyqmC002daPQvBUxCmGe4jqOjPBrecyHvmk+uWFXOpi6DH/7RWZdiUiak1t5gtIGqaFHHyOzvB9lUXF0E7bPZaSKiZ7tv/Cn6wXkZQR5EwBVSBzDDxFJQZ/L8SuM2AplQS96iENe2vbPjmbkgNcLpTb6NYWcLJtm9MiXdoogYyl9n4n"
"domain","bat-ukraine[.]com","suspicious",""
"domain","battleforukraine[.]com","suspicious",""
"domain","bazarukraine[.]com","parked",""
"domain","beautytravelukraine[.]com","parked",""
"domain","beersforukraine[.]com","suspicious",""
"domain","beforukraine[.]be","parked",""
"domain","beforukraine[.]com","parked",""
"domain","bel-ukraine[.]com","parked",""
"domain","belaruswithukraine[.]com","suspicious",""
"domain","bend[.]javastrong[.]biz","suspicious","https://research.domaintools.com/iris/investigations/896649/search/7f71f422-e8e1-4bae-a752-98257f2cc7d6/56f21ec5-ccb0-4997-a942-7f1381e3603b"
"domain","benefitukrainefundriser[.]com","suspicious","https://www.virustotal.com/gui/url/1f651882df4dc2863e9dbc6d5cd5075ae084a9c2af43ac0fc627fee90c4d20e3"
"domain","bernercookiesdespensary[.]com","phishing","https://www.blockchain.com/btc/address/3GfDiyq77ThF3wGwKoZYeULE95bj9ATsdP"
"domain","bertshbt32[.]xyz","malware",""
"domain","bestukraine[.]org","malware","https://www.virustotal.com/gui/domain/bestukraine.org,https://research.domaintools.com/iris/investigations/892054/search/c45448d6-7211-4da9-91a5-8c5f3a71baf7/cc03caad-19e5-4b74-9417-8c6558412e38"
"domain","biovedaukraine[.]net","unavailable",""
"domain","birdoflightukraine[.]org","suspicious",""
"domain","bitcoin4ukraine[.]com","unavailable",""
"domain","blackforeignersinukraine[.]org","suspicious",""
"domain","blessedukraine[.]com","suspicious",""
"domain","blessukraine[.]com","suspicious",""
"domain","blocksitepremium[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","bluettiukraine[.]com","suspicious","https://www.virustotal.com/gui/domain/ukraine.nasrtravel.com"
"domain","bowlingforukraine[.]com","unavailable",""
"domain","bpoukraine[.]info","unavailable",""
"domain","braveukraine[.]com","parked",""
"domain","brewforukraine[.]beer","suspicious","https://www.pravda.beer/en/victory-beer-series-from-lviv-ukraine/, https://www.foxnews.com/world/brew-for-ukraine-lviv-based-brewery-makes-intl-call-to-arms"
"domain","brewforukraine[.]com","parked",""
"domain","brides-ukraine[.]net","suspicious","https://www.virustotal.com/gui/domain/brides-ukraine.net/detection,https://urlscan.io/result/fdbe5e12-7ea3-4fd5-a8e8-481278987c06/,https://research.domaintools.com/iris/investigations/923902/search/08798905-dcf0-4f72-83c3-831be57d05be/fd83ca0a-23a1-41e9-9cbd-301aba2f1f80"
"domain","bridgeofloveukraine[.]com","phishing",""
"domain","bringmoney2ukraine[.]org","phishing",""
"domain","buchukraine1[.]com","unavailable",""
"domain","buildbackukraine[.]org","parked",""
"domain","buildingukrainehomes[.]org","parked",""
"domain","bulletprof[.]buzz","phishing","https://urlscan.io/result/cad2d409-6ba8-414e-ab77-a7718473077f/"
"domain","bulletproofukraine[.]com","suspicious",""
"domain","bunzo[.]org","phishing","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","burnmanage[.]quest","suspicious","https://research.domaintools.com/iris/investigations/898523/search/b4610b14-e4bb-4085-a1f8-1d28de50301e/14aa9658-d98a-487d-8f7d-8789987397aa"
"domain","busmarket-ukraine[.]com","parked",""
"domain","campaignforukraine[.]com","parked",""
"domain","campaignforukraine[.]org","parked",""
"domain","canadaukraine[.]info","suspicious","https://urlscan.io/result/36ac88a6-0209-4263-a43e-02d029b048e8/"
"domain","canadaukraine[.]org","phishing",""
"domain","cannabiswithukraine[.]org","suspicious",""
"domain","captain-ukraine[.]com","parked",""
"domain","captainukraine[.]com","suspicious","https://www.virustotal.com/gui/domain/sweet.tv/relations,https://urlscan.io/result/8bfe072c-5f93-4fc7-bc6c-3fdf8c653a3c/,https://urlscan.io/result/3f46872e-7d1f-4210-b9cd-3044e0289eeb/#summary,https://www.microsoft.com/en-us/p/sweettv-tv-and-movies/9pfmsh4nh6zn?activetab=pivot:overviewtab#"
"domain","car4ukraine[.]com","suspicious",""
"domain","careforukraine[.]org","unavailable",""
"domain","carrieamie[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","cars-for-ukraine[.]com","suspicious",""
"domain","castle-it[.]online","phishing","Iris search: U2FsdGVkX19fCcXlzseNw4IfOkzqBKkAiPoedUicb/AYoq+UvFwM2qbr9fox6DVN6dIqabSixoaFQ4OoyHultJiIemRWuhL++Ec8B6pt5GAridYwOdZlA5mAs9chnk6khJ0Xmrd9sdkgj7ryW89f1qbA4AfsnXl6gRLdotM1fSHIxT8RxuiSoWk9bpej9OHQE03mGQEVpQsToEtxNwNjQlJOUN5okeG6MO2yaZQCbk/ULbTbjuyCybWLVCO6uCrlBPMcp2trq0KwfHAHhyoxWbCBVBXtyeDg4mFk3Z+3K7OytyXqKq90EXbzEz/zvmnERMBhMDFF7OXobE563xusxwunOl+kWspp0V2weo6C9MT6XHwob33HCcMTGNYqaEv0vGe36XFMQa5h+R5QI3Y5YWMp3B8P6ETeGwiGH85VIARi/JB0nTbOwF/QMPGWeJTbBRwjhf8E3R2qTeX50FK9zjFL8HcnQczFuxy9Gyku24z/h6AiArp4mwNWqh5fSFe2ngeu04I+d4OEnf9uSPGh75q6dpTmXLCmXtFuqhuimcGsNnJsdcjk2EuQm8f/n8Wqj9wpJL/VGwKbdEVdCnglo28iJx4jv0EH5hqP8LKb/1rFvZVle13A2SzT+f07mqK+/RAw8GbHX/pyktmWnMyqmC002daPQvBUxCmGe4jqOjPBrecyHvmk+uWFXOpi6DH/7RWZdiUiak1t5gtIGqaFHHyOzvB9lUXF0E7bPZaSKiZ7tv/Cn6wXkZQR5EwBVSBzDDxFJQZ/L8SuM2AplQS96iENe2vbPjmbkgNcLpTb6NYWcLJtm9MiXdoogYyl9n4n"
"domain","ccukraine[.]com","unavailable",""
"domain","centosi[.]ru","malware","https://twitter.com/500mk500/status/1497520375932108801"
"domain","centurycitydeposition[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","cgp-ukraine[.]org","parked",""
"domain","charitytoukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","charityukraine[.]com","phishing",""
"domain","chefsforukraine[.]cf","unavailable",""
"domain","childrenofukraine[.]com","phishing",""
"domain","clickukraine[.]aero","unavailable",""
"domain","coaches2ukraine[.]org","suspicious",""
"domain","coinbase-invest[.]us","phishing","https://urlscan.io/result/42f4b39c-0d6f-4117-9470-fd1f8e96d1ac/"
"domain","cointukraine[.]site","unavailable",""
"domain","collabukraine[.]com","parked",""
"domain","columbia-ukraine[.]site","unavailable",""
"domain","conciergeukraine[.]com","unavailable",""
"domain","cookforukraine[.]com","parked",""
"domain","costcoproof[.]co","phishing","https://urlscan.io/result/bf6c8e68-9abd-4068-867d-34f9fbcb6a33/"
"domain","croukraine[.]online","unavailable",""
"domain","crowdfunddonations[.]com","phishing","https://urlscan.io/result/3a46d6ec-9907-4f6a-8a0c-22dfa67e5a5f/"
"domain","crowdfundingforukraine[.]com","suspicious",""
"domain","crowdfundingforukraine[.]org","phishing",""
"domain","crownfundingforukraine[.]com","unavailable",""
"domain","crssupportdonate-ukraine[.]xyz","phishing","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","crypto4ukraine[.]com","parked",""
"domain","cryptobankukraine[.]com","parked",""
"domain","cryptocurrency-helps-ukraine[.]com","phishing",""
"domain","cryptosforukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","cryptoukraine[.]info","parked",""
"domain","cryptoukraine[.]net","parked",""
"domain","cybersportsukraine[.]com","parked",""
"domain","cybersportsukrainecup[.]com","parked",""
"domain","cybersportukraine[.]com","parked",""
"domain","cyberukraine[.]site","parked",""
"domain","dailyecommart[.]com","spam","https://www.virustotal.com/gui/domain/www.dailyecommart.com/detection,https://urlscan.io/result/7dc82b59-1241-44dc-85aa-f3a6df987863/"
"domain","dailyneedstock[.]com","phishing","https://urlscan.io/result/bf6c8e68-9abd-4068-867d-34f9fbcb6a33/"
"domain","danceforukraine[.]net","parked",""
"domain","danhramvaiqua[.]xyz","malware",""
"domain","das-d[.]xyz","phishing","https://twitter.com/kemono_lin_ryu/status/1502285854013747207"
"domain","dating-ukraine[.]com","unavailable",""
"domain","datingukraine[.]org","suspicious",""
"domain","daukraine[.]org","parked",""
"domain","ddosukraine[.]com[.]ua","propaganda",""
"domain","ded-ukraine[.]com","parked",""
"domain","dedukraine[.]com","parked",""
"domain","default[.]_bimi[.]godsafeukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","defenceofukraine[.]com","suspicious",""
"domain","defend-ukraine[.]org","parked",""
"domain","defendingukraine[.]com","phishing",""
"domain","defendukraine[.]ca","parked","https://urlscan.io/result/5df530eb-1272-4c4c-8d75-5c8fbdb7094c/,https://www.virustotal.com/gui/domain/defendukraine.ca,https://isc.sans.edu/ipinfo.html?ip=defendukraine.ca"
"domain","defendukraine[.]com","parked",""
"domain","defendukraine[.]world","parked",""
"domain","dendanskeukrainekomite[.]dk","suspicious",""
"domain","dermsuppliesforukraine[.]com","phishing","https://www.virustotal.com/gui/domain/dermsuppliesforukraine.com"
"domain","designforukraine[.]com","suspicious",""
"domain","desiswxmasala[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","desisxmasala[.]com","malware","https://www.virustotal.com/gui/domain/airxanada.com/details"
"domain","devsforukraine[.]io","suspicious",""
"domain","diagnostika-pc[.]ru","phishing","https://urlscan.io/result/344fb66d-e9c0-4f3c-8466-f7c18aef075e/
,
https://urlscan.io/result/805ad4b5-1cfe-48c0-b496-8f5e581da39e/
, https://urlscan.io/result/4495bbce-8df3-4cf5-bb2a-3c7bf4002d72/
, https://urlscan.io/result/4cc60531-2d3f-4983-8717-8f59f9c8f6a6/"
"domain","dienste-email[.]eu","phishing","https://latestpagenews.com/technology/phishing-attacks-russian-hackers-disguised-themselves-as-ukrainian-military-personnel/"
"domain","dinniihr[.]cam","suspicious","https://www.virustotal.com/gui/url/3abd155e7f8a64729dc6c9479a9c5c1b698430e330a21ed7702a8b55b6b859c8"
"domain","diplomy-ukraine[.]com","suspicious",""
"domain","directhelpforukraine[.]info","suspicious",""
"domain","doctorsforukraine[.]com","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","donate-ukraine[.]com","parked",""
"domain","donate-ukraine[.]info","phishing",""
"domain","donate-ukraine[.]net","unavailable",""
"domain","donate-ukraine[.]org","phishing",""
"domain","donate2ukraine[.]com","phishing","https://urlscan.io/result/a774a345-1c7a-4216-b3a3-4a59b9b0d476/"
"domain","donate4ukraine[.]info","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","donate[.]thedigitals[.]com[.]ua","phishing","https://mobile.twitter.com/DonPasci/status/1511442223006691329"
"domain","donatecryptotoukraine[.]com","phishing",""
"domain","donateeforukraine[.]com","phishing",""
"domain","donateforukraine[.]online","unavailable",""
"domain","donateforukrainethedigital[.]org","suspicious","https://urlscan.io/result/d83ef17f-46fb-42b3-a54d-854683773d3c/dom/"
"domain","donatesaveukraine[.]com","suspicious",""
"domain","donatesukraine[.]bernercookiesdespensary[.]com","phishing","https://www.blockchain.com/btc/address/3GfDiyq77ThF3wGwKoZYeULE95bj9ATsdP"
"domain","donatesukraine[.]com","phishing","https://www.blockchain.com/btc/address/3GfDiyq77ThF3wGwKoZYeULE95bj9ATsdP, https://urlscan.io/result/64922326-8963-43e3-8346-fb1d66b78653/"
"domain","donatesupportukraine[.]com","suspicious","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","donatetonovaukraine[.]com","phishing",""
"domain","donatetoukraine[.]org","phishing","https://news.trendmicro.com/2022/03/18/ongoing-charity-scams-what-to-watch-out-for/"
"domain","donateukraine[.]co","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","donateukraine[.]com","phishing",""
"domain","donateukraine[.]global","phishing","https://800notes.com/Phone.aspx/1-234-567-8900"
"domain","donateukraine[.]life","parked",""
"domain","donateukraine[.]online","phishing",""
"domain","donateukraine[.]org","parked",""
"domain","donateukraine[.]sbs","unavailable",""
"domain","donateukraine[.]site","parked",""
"domain","donateukraine[.]space","parked",""
"domain","donateukraine[.]world","unavailable",""
"domain","donateukraine[.]xyz","parked",""
"domain","donateukrainee[.]online","phishing",""
"domain","donateukrainenow[.]org","unavailable",""
"domain","donateukrainesupport[.]com","suspicious","https://blogs.infoblox.com/cyber-threat-intelligence/cyber-threat-advisory/ukrainian-support-fraud/"
"domain","donation-for-ukraine[.]com","phishing","https://mobile.twitter.com/DonPasci/status/1510912819146993664"
"domain","donations-to-ukraine[.]org","phishing","https://urlscan.io/result/0f771920-5520-4073-a086-dd753638c04a/"
"domain","donationukraine[.]io","parked",""
"domain","dopomoga-ukraine-official[.]com","phishing",""
"domain","doterraukraine[.]biz","unavailable",""
